"StartDate","EndDate","Status","Duration..in.seconds.","Progress","RecordedDate","ResponseId","UserLanguage","DistributionChannel"
"Start Date","End Date","Response Type","Duration (in seconds)","Progress","Recorded Date","Response ID","User Language","Distribution Channel"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""duration""}","{""ImportId"":""progress""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""userLanguage""}","{""ImportId"":""distributionChannel""}"
"2025-03-20 13:29:52","2025-03-20 13:35:03","IP Address","311","100","2025-03-20 13:35:04","R_2N1EFDYz0t3KpPP","EN","email"
"2025-03-20 13:48:07","2025-03-20 13:51:18","IP Address","190","100","2025-03-20 13:51:19","R_2V3kvjEWU6ryAR2","EN","email"
"2025-03-20 13:56:00","2025-03-20 14:03:46","IP Address","466","100","2025-03-20 14:03:46","R_5dIIWMVDHvKHApb","EN","email"
"2025-03-20 14:56:11","2025-03-20 14:58:26","IP Address","134","100","2025-03-20 14:58:27","R_5g6iuMadGtuoG5Q","EN","email"
"2025-03-20 11:53:39","2025-03-20 16:05:43","IP Address","15123","100","2025-03-20 16:05:43","R_32LyjG7eJ3SSK5c","EN","email"
"2025-03-20 20:57:58","2025-03-20 21:09:21","IP Address","683","100","2025-03-20 21:09:21","R_2Bny7HO3I7vTebi","EN","email"
"2025-03-20 22:53:05","2025-03-20 22:58:00","IP Address","295","100","2025-03-20 22:58:01","R_9uJxun4HOdBk6Lx","EN","email"
"2025-03-21 00:19:25","2025-03-21 00:21:42","IP Address","136","100","2025-03-21 00:21:43","R_6f0LALbyWBj639u","EN","email"
"2025-03-21 00:24:08","2025-03-21 00:27:42","IP Address","214","100","2025-03-21 00:27:43","R_7yx6jhgkjniwUYF","EN","anonymous"
"2025-03-21 04:34:05","2025-03-21 04:39:00","IP Address","294","100","2025-03-21 04:39:00","R_9tGnCZ62AxMBCTq","EN","email"
"2025-03-21 07:07:09","2025-03-21 07:10:15","IP Address","186","100","2025-03-21 07:10:16","R_9pWrO8vBbEq3lJJ","EN","email"
"2025-03-21 07:11:13","2025-03-21 07:16:15","IP Address","302","100","2025-03-21 07:16:15","R_2k6eckV8FzgrCNc","EN","email"
"2025-03-21 07:08:38","2025-03-21 07:18:36","IP Address","597","100","2025-03-21 07:18:37","R_9g55MkcYFRrJb6H","EN","email"
"2025-03-21 16:06:25","2025-03-21 16:08:48","IP Address","142","100","2025-03-21 16:08:48","R_2PIIjjBkJjdeR69","EN","email"
"2025-03-24 08:23:52","2025-03-24 08:28:58","IP Address","306","100","2025-03-24 08:28:59","R_2M09Nvu0drMV69Z","EN","email"
"2025-03-24 15:15:53","2025-03-24 15:27:30","IP Address","696","100","2025-03-24 15:27:30","R_5gndOcpRz0dSJSV","EN","email"
"2025-03-25 14:14:50","2025-03-25 14:19:14","IP Address","263","100","2025-03-25 14:19:14","R_8MQCAcXyKyrwLkn","EN","email"
"2025-03-25 14:19:45","2025-03-25 14:23:12","IP Address","206","100","2025-03-25 14:23:12","R_8Wx4Zhi1eYwfiYl","EN","email"
"2025-03-25 14:20:07","2025-03-25 14:24:03","IP Address","236","100","2025-03-25 14:24:03","R_7esLHdCHbvaaISt","EN","email"
"2025-03-25 14:23:07","2025-03-25 14:28:33","IP Address","325","100","2025-03-25 14:28:34","R_6DZXonQx3lld8oa","EN","email"
"2025-03-25 14:44:46","2025-03-25 14:50:55","IP Address","368","100","2025-03-25 14:50:56","R_8iJqYgBPdtoDSq5","EN","email"
"2025-03-25 14:49:41","2025-03-25 14:54:48","IP Address","306","100","2025-03-25 14:54:48","R_2rrxJyYCG2MiWPs","EN","email"
"2025-03-25 15:34:30","2025-03-25 15:39:11","IP Address","280","100","2025-03-25 15:39:11","R_7LI3oaWDSNxbm25","EN","email"
"2025-03-25 15:51:25","2025-03-25 15:55:46","IP Address","260","100","2025-03-25 15:55:47","R_5MO1OXkgBJjAwdX","EN","email"
"2025-03-25 16:00:13","2025-03-25 16:05:46","IP Address","332","100","2025-03-25 16:05:46","R_5LnV3XE2okrRwmR","EN","email"
"2025-03-25 16:11:41","2025-03-25 16:14:00","IP Address","139","100","2025-03-25 16:14:01","R_879lB33GebPmGxY","EN","email"
"2025-03-25 15:59:20","2025-03-25 16:16:30","IP Address","1030","100","2025-03-25 16:16:31","R_2PRjOsN1uF4F2YF","EN","email"
"2025-03-25 17:36:16","2025-03-25 17:42:45","IP Address","388","100","2025-03-25 17:42:46","R_6E79DK4tVGO64lC","EN","email"
"2025-03-25 18:09:11","2025-03-25 18:13:54","IP Address","283","100","2025-03-25 18:13:55","R_2OvitbGfXAsJ2Gt","EN","email"
"2025-03-25 20:02:42","2025-03-25 20:07:29","IP Address","287","100","2025-03-25 20:07:30","R_4OsmOQ42apW2wlb","EN","email"
"2025-03-25 22:29:48","2025-03-25 22:43:08","IP Address","799","100","2025-03-25 22:43:09","R_7mOKwM9erxbAOHL","EN","email"
"2025-03-25 19:59:32","2025-03-25 22:49:46","IP Address","10213","100","2025-03-25 22:49:46","R_2nveevokHFdpozf","EN","email"
"2025-03-25 23:30:03","2025-03-25 23:32:00","IP Address","117","100","2025-03-25 23:32:01","R_4P11DuRy4WniQiW","EN","email"
"2025-03-26 02:02:25","2025-03-26 02:06:27","IP Address","241","100","2025-03-26 02:06:27","R_9foOkUPNbzSVDI8","EN","email"
"2025-03-26 07:15:31","2025-03-26 07:18:58","IP Address","206","100","2025-03-26 07:18:59","R_4DOXmRw8zT3fp9u","EN","email"
"2025-03-26 07:50:38","2025-03-26 08:01:56","IP Address","678","100","2025-03-26 08:01:57","R_6uC0iuJzejTJcYX","EN","email"
"2025-03-26 10:15:54","2025-03-26 10:20:28","IP Address","273","100","2025-03-26 10:20:28","R_54iJz8OO7rtoKAl","EN","email"
"2025-03-27 17:48:49","2025-03-27 18:00:28","IP Address","698","100","2025-03-27 18:00:28","R_8LAS7qHzOPLaTn5","EN","email"
"2025-04-02 13:33:54","2025-04-02 13:36:16","IP Address","141","100","2025-04-02 13:36:16","R_6R3aymFbIS9dWnM","EN","email"
"2025-04-02 13:32:14","2025-04-02 13:37:55","IP Address","340","100","2025-04-02 13:37:55","R_1Q4w5T6xXhrrYSq","EN","email"
